SR NO,LCN,CHANNEL NAME,Category
1,1,STAR PLUS,HINDI GEC
2,2,COLORS,HINDI GEC
3,3,STAR BHARAT,HINDI GEC
4,4,ZEE TV,HINDI GEC
5,5,SET,HINDI GEC
6,6,& TV,HINDI GEC
7,7,SAB,HINDI GEC
8,8,CHANNEL V,HINDI GEC
9,9,BIG MAGIC,HINDI GEC
10,10,BINDASS,HINDI GEC
11,11,ZEE ANMOL,HINDI GEC
12,13,RISHTEY,HINDI GEC
13,14,NT 1,HINDI GEC
14,15,HBN,HINDI GEC
15,16,PAL,HINDI GEC
16,17,ZOOM TV,HINDI GEC
17,18,ID,HINDI GEC
18,19,NAAPTOL GREEN,HINDI GEC
19,23,EPIC TV,HINDI GEC
20,24,LIVING FOODZ,HINDI GEC
21,26,STAR UTSAV,HINDI GEC
22,27,DD NATIONAL,HINDI GEC
23,28,DD INDIA,HINDI GEC
24,29,DD BHARATI,HINDI GEC
25,30,DD KISAN,HINDI GEC
26,31,STAR WORLD,ENG. GEC
27,33,COLORS INFINITY,ENG. GEC
28,34,AXN,ENG. GEC
29,35,ZEE CAFE,ENG. GEC
30,41,COMEDY CENTRAL,ENG. GEC
31,51,STAR GOLD,HINDI MOVIES
32,53,ZEE CINEMA,HINDI MOVIES
33,54,SET MAX,HINDI MOVIES
34,55,MOVIES OK,HINDI MOVIES
35,56,UTV MOVIES,HINDI MOVIES
36,58,UTV ACTION,HINDI MOVIES
37,59,CINEMA TV,HINDI MOVIES
38,60,MAX 2,HINDI MOVIES
39,61,& PICTURES,HINDI MOVIES
40,62,RISHTEY CINEPLEX,HINDI MOVIES
41,63,SONY WAH,HINDI MOVIES
42,64,ZEE CLASSIC,HINDI MOVIES
43,65,WOW CINEMA,HINDI MOVIES
44,67,STAR UTSAV MOVIES,HINDI MOVIES
45,68,ZEE ACTION,HINDI MOVIES
46,69,B4U MOVIES,HINDI MOVIES
47,70,MOVIE HOUSE,HINDI MOVIES
48,71,DL CINEMA,HINDI MOVIES
49,72,DL CLASSIC,HINDI MOVIES
50,74,RANG,HINDI MOVIES
51,76,STAR MOVIES,ENG. MOVIES
52,77,SET PIX,ENG. MOVIES
53,78,MOVIES NOW,ENG. MOVIES
54,79,MNX,ENG. MOVIES
55,82,ZEE STUDIO,ENG. MOVIES
56,88,ROMEDY NOW,ENG. MOVIES
57,91,DL HOLLYWOOD,ENG. MOVIES
58,101,STAR SPORTS 1,SPORTS
59,102,STAR SPORTS 1 HINDI,SPORTS
60,103,STAR SPORTS 2,SPORTS
61,104,STAR SPORTS SELECT 1,SPORTS
62,105,STAR SPORTS SELECT 2,SPORTS
63,106,SIX,SPORTS
64,107,SONY ESPN,SPORTS
65,108,TEN 1,SPORTS
66,109,TEN 2,SPORTS
67,110,TEN 3,SPORTS
68,111,D SPORT,SPORTS
69,112,NEO PRIME,SPORTS
70,113,NEO SPORTS,SPORTS
71,114,DD SPORTS,SPORTS
72,201,ETV NEWS GUJARATI,GUJARATI NEWS
73,202,ZEE 24 KALAK,GUJARATI NEWS
74,203,ABP ASMITA,GUJARATI NEWS
75,204,TV 9 GUJARATI,GUJARATI NEWS
76,205,HIND TV,GUJARATI NEWS
77,206,SANDESH,GUJARATI NEWS
78,207,GSTV,GUJARATI NEWS
79,208,VTV GUJARATI,GUJARATI NEWS
80,210,D & Y,GUJARATI NEWS
81,211,SKY 7 NEWS,GUJARATI NEWS
82,212,CN 24,GUJARATI NEWS
83,213,MITRA CHANNEL,GUJARATI NEWS
84,214,GUJARAT NEWS,GUJARATI NEWS
85,221,NEWS18 INDIA,HINDI NEWS
86,222,INDIA TV,HINDI NEWS
87,223,ZEE NEWS,HINDI NEWS
88,224,ABP NEWS,HINDI NEWS
89,226,AAJ TAK,HINDI NEWS
90,227,NDTV INDIA,HINDI NEWS
91,228,NEWS NATION,HINDI NEWS
92,234,TEJ,HINDI NEWS
93,235,ZEE HINDUSTAN,HINDI NEWS
94,236,ZEE MP CHHATTISGARH,HINDI NEWS
95,243,DD NEWS,HINDI NEWS
96,250,DD LOKSABHA,HINDI NEWS
97,251,DD RAJYASABHA,HINDI NEWS
98,252,DD NORTH EAST,HINDI NEWS
99,261,CNN NEWS 18,ENGLISH NEWS
100,263,MIRROR NOW,ENGLISH NEWS
101,264,REPUBLIC NEWS,ENGLISH NEWS
102,265,INDIA TODAY,ENGLISH NEWS
103,266,NDTV 24X7,ENGLISH NEWS
104,267,TIMES NOW,ENGLISH NEWS
105,268,WION,ENGLISH NEWS
106,280,CNBC TV 18,ENGLISH BUSINESS NEWS
107,281,ET NOW,ENGLISH BUSINESS NEWS
108,282,NDTV PROFIT,ENGLISH BUSINESS NEWS
109,283,BTVI,ENGLISH BUSINESS NEWS
110,285,CNBC AWAAZ,HINDI BUSINESS NEWS
111,287,ZEE BUSINESS,HINDI BUSINESS NEWS
112,288,CNBC BAJAAR,GUJARATI BUSINESS
113,293,BBC WORLD NEWS,GLOBAL NEWS
114,294,RUSSIA TODAY,GLOBAL NEWS
115,295,DW TV,GLOBAL NEWS
116,297,M TV,HINDI MUSIC
117,299,MIX,HINDI MUSIC
118,302,ZING,HINDI MUSIC
119,303,B4U MUSIC,HINDI MUSIC
120,304,9XM,HINDI MUSIC
121,305,MTV BEATS,HINDI MUSIC
122,306,ETC BOLLYWOOD,HINDI MUSIC
123,307,MASTIII,HINDI MUSIC
124,308,9X JALWA,HINDI MUSIC
125,325,DL MUSIC,HINDI MUSIC
126,331,VH1,ENGLISH MUSIC
127,332,9XO,ENGLISH MUSIC
128,333,NAT GEO MUSIC,ENGLISH MUSIC
129,401,NICK,CARTOON
130,402,DISNEY CHANNEL,CARTOON
131,403,SONY YAY,CARTOON
132,404,HUNGAMA,CARTOON
133,405,BABY TV,CARTOON
134,406,DISCOVERY KIDS,CARTOON
135,407,NICK JUNIOR,CARTOON
136,408,DISNEY XD,CARTOON
137,409,DISNEY JUNIOR,CARTOON
138,410,SONIC,CARTOON
139,501,DISCOVERY CHANNEL,SCIENCE
140,502,HISTORY CHANNEL,SCIENCE
141,503,SONY BBC EARTH,SCIENCE
142,504,ANIMAL PLANET,SCIENCE
143,505,NAT GEO WILD,SCIENCE
144,506,FYI TV 18,SCIENCE
145,507,NAT GEO PEOPLE,SCIENCE
146,508,DISCOVERY SCIENCE,SCIENCE
147,509,NATIONAL GEOGRAPHIC,SCIENCE
148,551,DL BHAKTI,DEVOTIONAL
149,553,AASTHA,DEVOTIONAL
150,556,SADHANA,DEVOTIONAL
151,557,SANSKAR,DEVOTIONAL
152,558,SATSANG,DEVOTIONAL
153,559,PARAS SITI PLUS TV,DEVOTIONAL
154,560,GOD TV,DEVOTIONAL
155,562,SHRADDHA,DEVOTIONAL
156,563,DISHA TV,DEVOTIONAL
157,564,JINVANI,DEVOTIONAL
158,565,PEACE OF MIND,DEVOTIONAL
159,566,DIVYA,DEVOTIONAL
160,567,AASTHA BHAJAN,DEVOTIONAL
161,568,KAATYAYANI,DEVOTIONAL
162,569,LORD BUDDHA TV,DEVOTIONAL
163,570,SANSKRUTI TV,DEVOTIONAL
164,571,LAKSHYA,DEVOTIONAL
165,572,SADVIDYA TV,DEVOTIONAL
166,574,ARIHANT,DEVOTIONAL
167,576,SOHAM,DEVOTIONAL
168,580,SINDHI SAJAN,DEVOTIONAL
